user_id,registration_date,device_type,acquisition_channel,age_group
1,2026-07-05,iOS,Organic,35-44
2,2026-05-11,iOS,Paid Social,25-34
3,2026-06-02,iOS,Organic,45+
4,2026-05-29,iOS,Organic,18-24
5,2026-07-14,iOS,Paid Social,18-24
6,2026-07-08,iOS,Search,25-34
7,2026-07-28,Android,Referral,18-24
8,2026-05-16,iOS,Search,35-44
9,2026-06-15,Android,Paid Social,25-34
10,2026-05-11,Android,Organic,18-24
11,2026-05-28,Android,Organic,35-44
12,2026-06-23,Android,Referral,18-24
13,2026-05-11,Android,Organic,45+
14,2026-05-26,iOS,Referral,35-44
15,2026-07-06,iOS,Organic,18-24
16,2026-06-27,iOS,Referral,18-24
17,2026-05-28,iOS,Organic,45+
18,2026-07-01,Android,Search,35-44
19,2026-07-20,iOS,Referral,35-44
20,2026-05-09,iOS,Referral,18-24
21,2026-07-20,iOS,Paid Social,25-34
22,2026-07-10,Android,Search,35-44
23,2026-06-08,iOS,Referral,18-24
24,2026-05-22,iOS,Organic,35-44
25,2026-08-03,Android,Referral,18-24
26,2026-06-08,iOS,Referral,25-34
27,2026-05-17,Android,Search,45+
28,2026-05-17,iOS,Referral,25-34
29,2026-07-24,iOS,Referral,45+
30,2026-07-02,Android,Referral,25-34
31,2026-07-20,iOS,Search,18-24
32,2026-07-13,iOS,Organic,25-34
33,2026-06-26,iOS,Search,18-24
34,2026-08-04,Android,Search,45+
35,2026-06-12,Android,Organic,18-24
36,2026-06-27,Android,Referral,18-24
37,2026-07-22,Android,Search,25-34
38,2026-07-03,Android,Organic,35-44
39,2026-07-25,iOS,Organic,35-44
40,2026-06-29,iOS,Paid Social,35-44
41,2026-07-11,iOS,Organic,35-44
42,2026-05-13,Android,Organic,18-24
43,2026-05-29,Android,Referral,25-34
44,2026-06-04,iOS,Paid Social,18-24
45,2026-05-16,iOS,Search,18-24
46,2026-05-29,iOS,Paid Social,45+
47,2026-05-18,iOS,Referral,45+
48,2026-06-03,iOS,Paid Social,35-44
49,2026-07-05,Android,Referral,45+
50,2026-06-10,Android,Organic,25-34
51,2026-06-11,iOS,Organic,35-44
52,2026-05-27,iOS,Paid Social,25-34
53,2026-06-02,iOS,Organic,18-24
54,2026-08-01,iOS,Organic,18-24
55,2026-07-06,Android,Organic,25-34
56,2026-07-02,Android,Search,25-34
57,2026-05-24,iOS,Search,25-34
58,2026-07-13,Android,Search,25-34
59,2026-05-23,iOS,Organic,45+
60,2026-06-12,Android,Search,45+
61,2026-08-06,Android,Organic,18-24
62,2026-07-05,iOS,Search,35-44
63,2026-06-28,iOS,Paid Social,25-34
64,2026-07-09,iOS,Search,25-34
65,2026-07-23,Android,Paid Social,35-44
66,2026-07-17,Android,Paid Social,18-24
67,2026-05-29,Android,Organic,18-24
68,2026-05-11,iOS,Organic,25-34
69,2026-06-06,iOS,Search,45+
70,2026-06-02,Android,Paid Social,45+
71,2026-05-27,iOS,Paid Social,45+
72,2026-08-01,iOS,Search,35-44
73,2026-07-26,Android,Referral,45+
74,2026-06-06,Android,Paid Social,25-34
75,2026-07-06,Android,Paid Social,18-24
76,2026-06-13,iOS,Referral,18-24
77,2026-07-30,iOS,Search,25-34
78,2026-06-19,iOS,Organic,25-34
79,2026-06-01,iOS,Organic,25-34
80,2026-05-31,Android,Organic,25-34
81,2026-06-28,iOS,Organic,45+
82,2026-06-01,Android,Referral,25-34
83,2026-06-30,Android,Paid Social,35-44
84,2026-07-28,Android,Paid Social,35-44
85,2026-06-13,Android,Referral,18-24
86,2026-05-28,iOS,Search,18-24
87,2026-08-06,iOS,Paid Social,35-44
88,2026-06-23,iOS,Referral,18-24
89,2026-05-17,iOS,Referral,35-44
90,2026-05-13,iOS,Search,35-44
91,2026-05-18,iOS,Referral,18-24
92,2026-07-04,iOS,Referral,18-24
93,2026-07-19,iOS,Paid Social,35-44
94,2026-06-15,Android,Paid Social,35-44
95,2026-05-14,iOS,Referral,45+
96,2026-06-12,Android,Organic,18-24
97,2026-08-06,Android,Referral,18-24
98,2026-06-25,iOS,Referral,25-34
99,2026-08-04,Android,Paid Social,45+
100,2026-07-25,Android,Organic,18-24
101,2026-05-10,iOS,Paid Social,18-24
102,2026-07-12,Android,Paid Social,45+
103,2026-07-09,iOS,Organic,35-44
104,2026-06-26,Android,Organic,35-44
105,2026-06-02,iOS,Paid Social,18-24
106,2026-07-05,Android,Search,25-34
107,2026-05-19,iOS,Paid Social,25-34
108,2026-06-17,Android,Organic,25-34
109,2026-06-18,Android,Search,25-34
110,2026-08-02,Android,Paid Social,18-24
111,2026-07-26,Android,Organic,45+
112,2026-06-01,iOS,Paid Social,45+
113,2026-06-23,Android,Referral,25-34
114,2026-05-25,iOS,Organic,25-34
115,2026-07-30,Android,Referral,35-44
116,2026-07-26,iOS,Referral,35-44
117,2026-06-04,Android,Referral,18-24
118,2026-07-05,iOS,Referral,25-34
119,2026-07-02,Android,Organic,18-24
120,2026-05-22,Android,Referral,35-44
121,2026-07-16,Android,Organic,45+
122,2026-06-26,iOS,Referral,18-24
123,2026-07-18,Android,Organic,25-34
124,2026-06-25,Android,Search,18-24
125,2026-05-09,Android,Referral,18-24
126,2026-06-07,Android,Referral,45+
127,2026-05-10,Android,Search,35-44
